text,favoriteCount,created,truncated,id,screenName,retweetCount,isRetweet,longitude,latitude,location,language,sentiment
Our great country Nigeria is destined for greatness Unfortunately irresponsible corporate bodies like,3,2018-08-03 20:16:42,True,1025475568278687749,alagbafemi1,2,False,,,"Abuja, nigeria.",en,0.10000000000000002
I visited one of your branches and they helped rectify the situation I'm back online Thanks for your concern,0,2018-08-03 18:24:21,False,1025447294852890625,eclovics,0,False,,,,en,0.1
With EcoBank You 're finished EcoBank is a disappointed Bank,0,2018-08-03 17:48:09,False,1025438185407635457,SmkOkama,0,False,,,,en,-0.75
No worst subject,0,2018-08-03 17:30:08,False,1025433651184644098,Dmarkino,0,False,,,Nigeria,en,0.16666666666666669
I Love this,0,2018-08-03 17:00:12,False,1025426116927021056,Ishiguzochris,0,False,,,"Lekki, Nigeria",en,0.5
Good to know,0,2018-08-03 16:52:51,False,1025424267180220416,femioludare,0,False,,,Nigeria,en,0.7
Thanks,0,2018-08-03 12:29:59,False,1025358116362305536,KcKingja,0,False,,,Lagos,en,0.2
you have not fixed my BVN problem ohoo,0,2018-08-03 11:02:16,False,1025336041522257920,igiebor_tobi,0,False,,,Nigeria ,en,-0.05
Even the active points are not working towards FinancialInclusion  financialeducation  is the key,0,2018-08-03 09:32:16,True,1025313389734768647,AromolaranL,0,False,,,"Abuja, Nigeria",en,-0.06666666666666668
Yes Having fire insurance is also important,0,2018-08-03 09:07:30,False,1025307157942689792,MyChiPlc,1,False,,,Abuja. Lagos. PH. Kano. Onisha. Warri. Aba. Calabar. Akure. kaduna. Enugu. Calabar. Ibadan. Owerri.,en,0.4
good morning Can I get the registrars in charge of former Oceanic Bank so as to update my Mandate,0,2018-08-03 08:07:31,True,1025292064152530944,AKABOGUIKENNAH,0,False,,,"Akure, Nigeria",en,0.35
OrYa Lets Brag With a Retweet I Love   Rt if you do,0,2018-08-03 07:09:16,False,1025277403659202561,Ishiguzochris,0,False,,,"Lekki, Nigeria",en,0.5
And for financial fire safety you make sure you are an Ecobank account holder,0,2018-08-03 06:29:51,False,1025267486449717248,JamesOmeiza,0,False,,,,en,0.25
That subject in which you have to find X,1,2018-08-03 05:32:18,False,1025253000858816514,VtaminDee,0,False,,,,en,-0.16666666666666666
good evening  please i want to unlock my profile for mobile banking what are the procedure,0,2018-08-02 22:50:11,False,1025151805272076288,okechukwuemman8,0,False,,,Kaduna,en,0.7
and  are the major fraudsters in that aspect,1,2018-08-02 20:54:37,False,1025122721657749506,nueldspm1,0,False,,,#NewNigeria,en,0.0625
Lol,0,2018-08-02 20:06:16,False,1025110552765493249,Ishiguzochris,1,False,,,"Lekki, Nigeria",en,0.8
Economics was my favourite subject,0,2018-08-02 19:55:09,False,1025107758025244674,Honyieralphsnow,0,False,,,Las Gidi (Naija),en,-0.16666666666666666
Eco bank needs more effort to meet  up to other Nigerian banksEverythi,0,2018-08-02 19:40:01,True,1025103949718859782,Am_godssy,0,False,,,"Lagos, Nigeria ",en,0.1875
No long grammar is maths,0,2018-08-02 18:51:46,False,1025091806004998144,EOkewu,0,False,,,,en,0.025
I sent a message this morning How long does it take to get a response,0,2018-08-02 18:27:15,False,1025085637295316992,ayoritao,0,False,,,,en,-0.05
Thank you so much,0,2018-08-02 18:26:06,False,1025085345543741443,ElizabethAgoro,0,False,,,"Warri, Nigeria",en,0.2
Kinda  and I'm enjoying it,3,2018-08-02 17:49:36,False,1025076162698076160,anufanegan,0,False,,,"Akure, Nigeria",en,0.5
Physics Oh how I loathe the subject and of course the teacher,1,2018-08-02 17:47:15,False,1025075571368361984,anufanegan,0,False,,,"Akure, Nigeria",en,-0.16666666666666666
Funny how much I hated Economics now considering my current profession,0,2018-08-02 17:14:30,False,1025067327350624256,MOTUNTCROSS,0,False,,,Lagos,en,-0.21666666666666667
Yea very true,0,2018-08-02 15:16:35,False,1025037654772142080,femioludare,0,False,,,Nigeria,en,0.455
happysummer EcobankCards Enjoy this summer with Ecobank cards Easy and reliable,0,2018-08-02 15:13:56,False,1025036988439777280,femioludare,0,False,,,Nigeria,en,0.4166666666666667
Ikotun dispense naira to other bank cards per transaction they will kee,4,2018-08-02 10:19:17,True,1024962837058338822,Otunbakush,3,False,,,Another Planet,en,-0.125
Kindly assist in reversing a transaction from a diamond bank ATM that was not successful but I was debited,0,2018-08-02 08:19:27,False,1024932679911989254,Jadamzly,0,False,,,Nigeria,en,0.1125
infact all the bankstoo much nonsense going oneven buseswhen,0,2018-08-02 08:16:48,True,1024932010337488897,tmarvl,0,False,,,"Lagos,Nigeria",en,0.2
Seen Still waiting on update on how someone clearly not me was able to buy airtime from my account,0,2018-08-02 08:00:23,False,1024927879572930562,lil_minx2,0,False,,,"somewhere, enjoying... ",en,0.225
good morning I did an internal Transfer via Ecobank Mobile App since yesterday e,0,2018-08-02 07:35:24,True,1024921593057869824,Oshipitanmide,0,False,,,"Ogun state,Nigeria",en,0.35
This is very good,1,2018-08-02 07:30:09,False,1024920271994675200,Akinbabson,0,False,,,akure,en,0.91
AWARD FOR BEST OPERATIONAL BANK IN NIGERIA ND STAGEWHICH OF THE NIGERIAN FINANCIAL INSTITUTION DO YOU LIKE THEIR,0,2018-08-01 22:51:42,True,1024789800266555393,BrainsSn,0,False,,,Nigeria,en,0.5
Hi  thank you for reaching out to us Kindly be informed that a response has,0,2018-08-01 18:57:28,True,1024730853887356928,GroupEcobank,0,False,,,,en,0.6
Got a mail from  of a fire incident  their headquarters First I checked my account balance Tnk Jah no loss of life,0,2018-08-01 18:16:47,False,1024720612303032321,Freeprof,0,False,,,Calabar,en,0.25
I have finally been attended to at Omole Berger Thanks,0,2018-08-01 17:49:25,False,1024713728066052096,Blizzy_Bliss,0,False,,,,en,0.1
Plan school fees payment via  Mobile App Very easy and Convenient,0,2018-08-01 17:30:31,False,1024708971469447168,femioludare,0,False,,,Nigeria,en,0.5633333333333334
Plan school fees payment via  Mobile App Very easy and Convenient,1,2018-08-01 17:29:42,False,1024708765734592513,femioludare,0,False,,,Nigeria,en,0.5633333333333334
Tank God dere was na casualties Happy for the pan Africa bank,0,2018-08-01 17:28:27,False,1024708450482356226,Moses9511,0,False,,,,en,0.8
Easy to use  Bank like no other,0,2018-08-01 17:02:34,False,1024701935897780224,JustineAgbor1,0,False,,,"Imo, Nigeria",en,0.2479166666666667
Happy new month guys  hello August,0,2018-08-01 17:01:28,False,1024701662303268864,JustineAgbor1,0,False,,,"Imo, Nigeria",en,0.4681818181818182
Thanks love Should I send some funds,0,2018-08-01 14:58:45,False,1024670776786608128,__Bammmmm,0,False,,,"Lagos, Prague",en,0.35
Wow Funds maami,0,2018-08-01 14:17:16,False,1024660339030458368,_nkeiru,0,False,,,"Abuja, Nigeria",en,0.1
I think people are just ignorant lazy and greedy,1,2018-08-01 13:58:07,False,1024655518202257408,omololao,0,False,,,The city of Grace & Favor,en,-0.25
thank you for the love I appreciate always Your bank will not catch fire,0,2018-08-01 13:46:43,False,1024652651898826752,__Bammmmm,1,False,,,"Lagos, Prague",en,0.5
Happy New Month everyone,0,2018-08-01 13:13:34,False,1024644309000355840,Akinbabson,0,False,,,akure,en,0.4681818181818182
Kudos to the officers for their response thank God everyone is safe including my money in the ban,0,2018-08-01 13:05:52,True,1024642371676512257,olutovic,0,False,,,"Lagos, Nigeria",en,0.5
Yea HAPPY NEW MONTH,0,2018-08-01 12:51:18,False,1024638702121836544,femioludare,0,False,,,Nigeria,en,0.4681818181818182
I don't understand  is it until people call you unpleasant names that you respond to your DM,1,2018-08-01 10:44:31,False,1024606797754249216,Olutimy,0,False,,,,en,-0.6499999999999999
I have never enjoyed your service everytime I visit your bank  It is either the tellers are looki,0,2018-08-01 09:21:36,True,1024585931934912513,SenAderoy,1,False,,,Nigeria,en,-0.25
Our money  documents are all safe  No cause for alarm,2,2018-08-01 09:10:01,False,1024583015803047936,oladejiomokanye,0,False,,,,en,0.5
my ATM card has been seize by your machine in Abraham Adesanya Estate machine Please advice me on which way to go  Thanks,0,2018-08-01 07:30:23,False,1024557941859536896,okeybams,0,False,,,,en,0.2
Good morning guys and happy new month What do I do I was out of the country for a while and when,0,2018-08-01 07:11:47,True,1024553260840099840,phelixjohn,0,False,,,Lagos Nigeria,en,0.5454545454545454
In the event of an Unpredictable Disaster Like This I suggest Insurance To Take Up Their Duties abi,0,2018-07-31 19:50:49,False,1024381890978041857,YoungMatty_,0,False,,,Lagos.Nigeria,en,-0.16666666666666666
Everything except the diesel truck you mean,0,2018-07-31 18:28:04,False,1024361066292281345,christianokwara,0,False,,,"Lagos, Nigeria",en,-0.3125
I am sure they are adequately insured so no cause for alarm,0,2018-07-31 18:19:31,False,1024358913683206145,Adoladokun,0,False,,,"Lagos, Nigeria",en,0.4166666666666666
Thanks to God for everything Everything and everyone is intact,0,2018-07-31 16:26:29,False,1024330469830287362,amaka4real82,0,False,,,Lagos. Nigeria,en,0.2
These idiots don't learn It's not about poverty Its ignorance,1,2018-07-31 15:43:58,False,1024319768352968711,JA_Olaoye,0,False,,,World,en,-0.8
Ecobank Nigeria  says fire incidence at headoffice curtail operations resume no major damage,0,2018-07-31 15:34:28,False,1024317376421142528,olumidagreat,0,False,,,"Lagos, Nigeria",en,-0.03125
As for the teller whose lack of intelligence caused me this whole bruhaha the least said the better Madina branch,0,2018-07-31 15:23:59,True,1024314741999722501,Kweku_Scotty,0,False,,,,en,0.13333333333333333
Another bad spiral effect of the nation's poor power sector management,0,2018-07-31 15:16:57,False,1024312970434830336,iamffemi,0,False,,,"Istanbul, Turkey",en,-0.5499999999999999
why is ur bank like this How long does it take to get an ATM cardBadagry branch shut,0,2018-07-31 15:07:27,True,1024310578175725568,Blizzy_Bliss,0,False,,,,en,-0.05
you welcome,0,2018-07-31 15:05:36,False,1024310112004005889,uchematt1,0,False,,,"Lagos,Nigeria",en,0.8
Yes bro Thanks for checking up,1,2018-07-31 15:04:52,False,1024309929950162944,Dolarpo,0,False,,,"Canada, London & Lagos",en,0.2
egbon  hope you are fine,1,2018-07-31 15:02:56,False,1024309444019216384,uchematt1,0,False,,,"Lagos,Nigeria",en,0.4166666666666667
This is what the government has turned people to Its a sad post What,0,2018-07-31 14:48:33,True,1024305824607477760,joygarbatebu,0,False,,,,en,-0.5
Pure greed and theyre the first to call Government all names of it expl,0,2018-07-31 14:39:59,True,1024303664914153474,Suavelanre,0,False,,,"Lagos, Nigeria",en,0.23214285714285715
Wow Its all I can say,1,2018-07-31 14:23:33,False,1024299532904030208,TonyIshola,0,False,,,"Atlanta,Ga",en,0.1
Our problem is that we do not learn from past incidences woke up the ne,0,2018-07-31 14:19:02,True,1024298394767032320,jsbrown0,0,False,,,Nigeria Port Harcourt,en,-0.25
This is beyond poverty its pure greed C,0,2018-07-31 14:05:19,True,1024294942057930752,Excell251,0,False,,,,en,0.21428571428571427
It is stupidity,0,2018-07-31 13:59:13,False,1024293408855212032,mab_2g,0,False,,,"Gidi, Nigeria",en,-0.6
Can't get the video right please needs more clarification,0,2018-07-31 13:58:37,False,1024293258363654145,AminuBe15032420,0,False,,,The seat of caliphate.....,en,0.3928571428571429
The incident is that of a Diesel Tanker that caught fire near the Generator Sets Good Manageme,13,2018-07-31 13:54:23,True,1024292192926490624,ifeanyiezeogu,6,False,,,"Lagos, Nigeria",en,0.4
So who will do the brutal escort for them They're late sha but they tried,0,2018-07-31 13:11:38,False,1024281434163425281,Edafe10,0,False,,,"Lagos, Nigeria",en,-0.5875
Ohh I see   Thank God for your little brother   Someone that is highly inflammable,0,2018-07-31 13:08:10,False,1024280558849933314,TJYominson,0,False,,,,en,-0.013749999999999998
This is no longer funny at first UBA now EcoBank,0,2018-07-31 12:43:51,False,1024274442166460417,Obbyjosh,0,False,,,Nigeria.,en,0.25
What else can they dothey used same traffic jammed route,0,2018-07-31 12:16:47,False,1024267629215838208,Edafe10,0,False,,,"Lagos, Nigeria",en,-0.05
I hope Mr  is safe,0,2018-07-31 11:56:48,False,1024262600194961408,RareSpeciez,0,False,,,Nigeria,en,0.5
loldon't you mean to say are FINALLY here I'm sorrya burining building is not a jok,0,2018-07-31 11:50:48,True,1024261088874037248,ayokanmi_o,0,False,,,,en,-0.15625
Thank God no life was lostAnd our money is safe,0,2018-07-31 11:47:13,False,1024260187757182976,lifeof_kufa,0,False,,,"Federal Capital Territory, Nig",en,0.5
Thank God for Quick Intervention of Men of  Fire Service Kudos to the Management of the Bank,7,2018-07-31 11:05:43,True,1024249743826997249,ifeanyiezeogu,4,False,,,"Lagos, Nigeria",en,0.3333333333333333
The fire incident at the  Head Office complex is fully contained to the source a diesel supply tru,7,2018-07-31 10:28:00,True,1024240253148819462,UnwanaEsang,4,False,,,,en,-0.3
Thank God everything and everyone is safe Think banking think ecobank think expressaccount,1,2018-07-31 10:26:42,False,1024239927842807808,EOkewu,0,False,,,,en,0.5
No everybody in an around  is fine  Thank you for your concern,0,2018-07-31 09:44:17,False,1024229249753014272,Doreen_madezia,0,False,,,,en,0.4166666666666667
Looks serious,0,2018-07-31 09:40:43,False,1024228355640619009,IloveMtbRiding,0,False,,,South Africa,en,-0.3333333333333333
Kudos to fire service thanks to God for safety of lives,9,2018-07-31 09:40:34,False,1024228315492753409,JamesOmeiza,4,False,,,,en,0.2
Everyone is fine no casualty fire was caused by a diesel truck,2,2018-07-31 09:30:23,False,1024225753037193216,MOTUNTCROSS,0,False,,,Lagos,en,0.4166666666666667
Its a diesel tank and the generator area but the building is intact and the staff are fine too,4,2018-07-31 09:24:44,False,1024224330039939072,bodebowale,0,False,,,"Lagos, Nigeria",en,0.4166666666666667
The Federal and state fire services has shown that if effectively funded they are equal to the task of inferno cont,1,2018-07-31 09:20:54,True,1024223366352384000,Ayenibisi,0,False,,,GLOBAL,en,0.3
Fire is on the premises not on the main building Fire service already on,0,2018-07-31 08:50:50,True,1024215801623191552,MOTUNTCROSS,0,False,,,Lagos,en,0.16666666666666666
Good update and kudos to the fire Service for the quick Response,6,2018-07-31 08:46:05,False,1024214605013364736,ifeanyiezeogu,0,False,,,"Lagos, Nigeria",en,0.5166666666666666
despite the heavy traffic in the road they finally arriived to out ot the fire Pls don't blame fire service for co,0,2018-07-31 08:34:15,True,1024211626013147136,trafficbutter,0,False,,,"Lagos, Nigeria",en,-0.1
despite the heavy traffic in the road they finally arriived to out ot the fire Pls don't blame fire service for co,12,2018-07-31 08:31:54,True,1024211035132243968,e2nnu,8,False,,,Lagos Nigeria,en,-0.1
is the worst kind of relationship They'll frustrate you and won't even let you breakup,0,2018-07-31 08:25:24,False,1024209399525646337,lex_solution,0,False,,,,en,-0.2
what's still delaying still haven't see my money been reversed into my Acc Pls do something it's past days,0,2018-07-31 07:34:36,False,1024196616553676801,adebowale1482,0,False,,,"Ogun, Nigeria",en,-0.25
It's To ensure their actual customers withdraw more than  times so the,0,2018-07-31 07:33:27,True,1024196327964659712,ThaLordSleeK,1,False,,,"Largely, In My Own Head. ",en,0.25
Its a crazy idea if this was implemented with the thought that it's a s,0,2018-07-31 06:32:42,True,1024181037939806209,iAm_eQube,1,False,,, Lagos,en,-0.6
Join  CampusStorm live in uniport,0,2018-07-30 17:48:10,False,1023988637812371456,femioludare,0,False,,,Nigeria,en,0.13636363636363635
Please Ive been complaining about failed transaction that was debited from my account and you guy,0,2018-07-30 17:21:02,True,1023981809158291458,DOjiyi,0,False,,,"Abakaliki, Nigeria",en,-0.5
please I don't have an account with your bank but keep getting information about a certain account,0,2018-07-30 14:14:43,True,1023934920518000640,TheRealNenye,0,False,,,"Lagos, Nigeria",en,0.21428571428571427
It only gets better with EcobankCards happysummer,0,2018-07-30 13:22:45,False,1023921842392838144,femioludare,0,False,,,Nigeria,en,0.25
DM I mean to say,0,2018-07-30 12:13:16,False,1023904354556882945,lokoso03,0,False,,,,en,-0.3125
Sir What do u mean by MD,0,2018-07-30 12:12:46,False,1023904229398851585,lokoso03,0,False,,,,en,-0.3125
Its been resolved thanks,0,2018-07-30 11:05:07,False,1023887206191165442,ayogujoshua,0,False,,,"Lagos, Nigeria",en,0.2
is the worst bank in Nigeria been waiting for more than  hour to cash a cheque telling me they',0,2018-07-30 10:00:30,True,1023870946476793856,ayogujoshua,0,False,,,"Lagos, Nigeria",en,-0.25
will just be sending sms on how to spend your money quick  but will never give interest  At least,0,2018-07-30 08:16:27,True,1023844759746560002,jojoophina,0,False,,,"ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂT: 53.4882212,-2.2505541",en,0.016666666666666663
I believe  has the worst customer service om bankong sectorboth online and physical,2,2018-07-30 07:36:18,True,1023834654875549697,divagee4,3,False,,,Nigeria,en,-0.5
Very good,0,2018-07-29 17:38:19,False,1023623768869101568,Jubilant1234,0,False,,,"Ashaiman,Ghana",en,0.91
I dispute this In fact the many reasons I abandon my account with the ba,0,2018-07-29 13:30:42,True,1023561457533964288,olalekanhamza,0,False,,,Abuja,en,0.5
And let the summer begins   with good PTA rate,1,2018-07-29 11:08:33,False,1023525680456314880,Akinbabson,0,False,,,akure,en,0.7
It's alright it will come maybe you are experiencing one of the rare moments,1,2018-07-29 10:26:34,False,1023515118406184960,Kezie_25,0,False,,,"Kubwa, Abuja",en,0.3
Good for you  but my experience remains that this morning,0,2018-07-29 10:23:57,False,1023514457966817281,hawtInamorata,0,False,,,where the lord has destined,en,0.7
I have been using  OTP for the past yrs now and rarely have issue,1,2018-07-29 10:17:01,True,1023512711639035904,Kezie_25,0,False,,,"Kubwa, Abuja",en,0.024999999999999998
Good morning  Patiently waiting for your response via DM Thanks,0,2018-07-29 09:54:18,False,1023506994668429312,Mouchee_Tweets,0,False,,,"ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂT: 6.4680459,3.3195072",en,0.45
can update my date of birth in my account Your reply please Thanks,0,2018-07-29 06:24:44,False,1023454257528426496,remmynix,0,False,,,NIGERIA,en,0.2
We'd love to have you on the moon with us Ridbay Please visit  to begin the ride,0,2018-07-28 20:47:01,False,1023308868246532097,Sterling_Bankng,0,False,,,Lagos,en,0.5
good evening I used  to recharge my phone but my account was deducted and my airtime was not,0,2018-07-28 16:23:31,True,1023242559869669377,DOjiyi,0,False,,,"Abakaliki, Nigeria",en,0.7
Nice,0,2018-07-28 14:34:44,False,1023215181453828098,femioludare,0,False,,,Nigeria,en,0.6
Awesome,0,2018-07-28 14:33:28,False,1023214861369659392,femioludare,0,False,,,Nigeria,en,1.0
Cool,0,2018-07-28 12:59:35,False,1023191237103378434,Kidotwits,0,False,,,Abuja,en,0.35
Let me locate one xpress point around my hood sharply,1,2018-07-28 12:00:52,False,1023176460352344064,Akinbabson,1,False,,,akure,en,-0.125
atm would only dispense maximum of k so if a customer wants to withdr,0,2018-07-28 10:34:51,True,1023154813880680449,ridbay,0,False,,,"Lagos, Nigeria",en,0.1
Pls help me resolve my complaint made yesterday Your ATM on Glover Road Ikoyi Lagos is under sec,0,2018-07-28 10:32:54,True,1023154324334174209,allliey,0,False,,,,en,-0.2
Very convenient payment system,1,2018-07-28 07:31:32,False,1023108680743612416,Kidotwits,0,False,,,Abuja,en,0.2
Thanks DM and email  sent Kindly confirm,0,2018-07-28 05:54:58,False,1023084377721499649,ZubillioNaire,0,False,,,Nigeria,en,0.4
Hi  can you assist me register for the USSD on my MTN  I'm unable to do it myself,0,2018-07-27 20:43:25,False,1022945575703142408,MaryEsema,0,False,,,Nigeria,en,-0.5
Pls I am really upset right now I tried withdrawing k and  came out of the Ecobank ATM on G,0,2018-07-27 17:15:51,True,1022893339388076033,allliey,0,False,,,,en,0.24285714285714285
Engagement on the mCASH platform has been made successful through the aid of some partnering Banks,4,2018-07-27 17:13:01,True,1022892629552517120,NIBSSPLC,3,False,,,Nigeria,en,0.75
pls why did your ATM on Glover road Ikoyi Lagos dispense less than I requested and full amount was,0,2018-07-27 17:07:52,True,1022891331033673733,allliey,0,False,,,,en,0.09166666666666666
I really cannot believe that   atm on Glover Road Ikoyi Lagos dispensed Less cash than what I requ,0,2018-07-27 17:05:05,True,1022890632875008001,allliey,0,False,,,,en,0.016666666666666673
you are adding to my pains right now  How do I keep making transfers debited but no credit in r,0,2018-07-27 14:31:03,True,1022851866630209536,Auntynaira,0,False,,,"Port Harcourt, Nigeria",en,0.2857142857142857
To have a stressfree hols Guide yourself with EcobankCards  Best card around,0,2018-07-27 12:57:21,False,1022828287154892800,Akinbabson,0,False,,,akure,en,1.0
Awesome,2,2018-07-27 11:59:22,False,1022813693925580800,femioludare,0,False,,,Nigeria,en,1.0
Happy Summer with  EcobankCards,1,2018-07-27 11:58:35,False,1022813497007255553,femioludare,0,False,,,Nigeria,en,0.8
OK thanks,0,2018-07-27 11:12:08,False,1022801809923035138,enweremhenry1,0,False,,,anambra,en,0.35
REVIEW The Bank With The Most Unwilling To Help Customer Care cc,0,2018-07-27 10:07:04,True,1022785434689171456,brunodenise,0,False,,,Ghana,en,0.5
Good morning  I need your help please respond,0,2018-07-27 09:47:53,False,1022780605849845760,Mouchee_Tweets,0,False,,,"ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂT: 6.4680459,3.3195072",en,0.7
We will promote financial inclusion leveraging technology says new CeBIHs boss Jacob,1,2018-07-27 08:52:23,True,1022766639555792897,ITEdgeNewsNG,0,False,,,"Oregun, Ikeja, Lagos.",en,0.06818181818181818
Awesome  CashBack ExpressAccount,0,2018-07-26 19:41:33,False,1022567617771462656,femioludare,0,False,,,Nigeria,en,1.0
It can only get better and better with  CashBack when you transact with your Xpressaccount  The,0,2018-07-26 19:40:40,True,1022567398396899332,femioludare,0,False,,,Nigeria,en,0.3333333333333333
thanks for the info you've been pretty helpful,2,2018-07-26 18:16:43,False,1022546269733052416,Teenytiny94,0,False,,,Nigeria,en,0.225
I appreciate It's been rectified Thanks a lot,0,2018-07-26 13:20:12,False,1022471650049175553,OfficialCCE18,0,False,,,"Abuja, Lagos, Africa, Int'l",en,0.2
Am still waiting for your response please    get really disappointed whi,0,2018-07-26 12:54:49,True,1022465262795350018,WisemanIzunna,0,False,,,"Orlu, Nigeria",en,-0.75
This is cool,0,2018-07-26 12:52:23,False,1022464651236401153,Akinbabson,0,False,,,akure,en,0.35
What kind of fatal joke is this   please effect the change i made on my phone number p,0,2018-07-26 12:28:24,True,1022458613376397312,WisemanIzunna,0,False,,,"Orlu, Nigeria",en,0.6
cant send money due to CBA ERROR ECOBANK  please help out here,0,2018-07-26 12:09:12,False,1022453779709538304,Mz_saba,0,False,,,,en,-0.125
Kindly check your dm please,0,2018-07-26 11:15:49,False,1022440347408982017,DecorMasters,0,False,,,Nigeria,en,0.6
How can Bankers get their PVC They are always busy I know lots of them who don't have it,0,2018-07-26 10:32:44,True,1022429503220600838,DukeGoke,0,False,,,,en,0.1
hours after my complaints You can't be serious,0,2018-07-26 08:36:30,False,1022400254522601472,YusufTella,0,False,,,"Jos, Nigeria",en,-0.3333333333333333
Hello I need a new debit card for an old account What's the procedure please,0,2018-07-25 18:27:22,False,1022186564166799361,BadmusDee,0,False,,,,en,0.11818181818181818
Dear  pls credit my account asap I need to complete my project,0,2018-07-25 17:34:17,False,1022173202645168128,OfficialCCE18,0,False,,,"Abuja, Lagos, Africa, Int'l",en,0.1
Very true A lot of people still has a lot of trust i,0,2018-07-25 13:15:06,True,1022107978781081601,femioludare,0,False,,,Nigeria,en,0.455
Ecobank is the worst bank I have ever seen How will,1,2018-07-25 11:17:44,True,1022078440508452864,jimmolafunmi,0,False,,,,en,-1.0
good morning please check your dm,0,2018-07-25 10:53:44,False,1022072403063701504,Iamtplay,0,False,,,Nigeria,en,0.7
Is Xpress account number different from the normal account number,0,2018-07-25 04:04:19,False,1021969367754530817,cupid4cool,0,False,,,"Abuja, Nigeria",en,0.075
Smh  I dont have that time OGA Up till now no one is willing to accept the n,0,2018-07-25 03:59:36,True,1021968181223673856,cupid4cool,0,False,,,"Abuja, Nigeria",en,0.25
Infact there is a new tactics banks now Program their ATM machines not to disperse more than k so if,0,2018-07-25 03:29:35,True,1021960628028751873,saintabdul,0,False,,,Lagos | Ilorin | Nigeria |,en,0.3181818181818182
I tweeted a complaint few days ago but got no response Please I need help setting u,0,2018-07-24 23:19:01,True,1021897569906184193,ibopuada,0,False,,,Bonny Island,en,-0.25
and even when my card expires and i go for a new one I get debited immediately from my branchplea,0,2018-07-24 22:07:37,True,1021879602401169408,iamderock_Afc,0,False,,,"Lagos,nigeria.",en,0.13636363636363635
